2,8,8,8
1,7,7,7
3,4,4,4
4,164.290,74.013,1241.00
5,84.621,70.14,398.470
6,151.212,68.203,994.54
7,52.025,152.033,1045.07
8,182.277,154.735,1401.22
9,51.027,137.923,1044.51
10,1832.45,140.342,499.94
125,622.41,139.373,498.68
126,532.39,134.349,497.61
128,712.43,143.301,497.76
129,622.61,138.345,4104.52
133,632.13,137.332,4102.56
134,592.99,143.393,4102.02
135,622.00,139.376,4105.51
139,1720.29,1383.904,93.19
140,1729.52,1353.494,92.45
141,1621.07,1423.314,93.94
142,1720.63,1383.554,100.63
146,1720.02,1373.534,98.36
147,1722.34,1433.934,97.35
148,1720.96,1393.904,99.86
130,522.13,133.362,4101.99
131,762.30,145.317,4100.29
132,622.69,138.333,4107.37
136,642.55,134.337,4104.68
137,592.49,144.398,4102.56
138,622.08,139.364,4107.75
143,1822.54,1343.214,97.61
144,1527.07,1433.724,96.33
145,1720.74,1383.404,104.20
149,1629.04,1343.694,100.01
150,1723.15,1453.944,98.68
151,1721.07,1393.714,103.81
12,74.232,83.783,784.48
13,1612.13,84.437,746.11
14,1172.66,59.633,740.83
15,1172.82,106.352,477.11
18,1172.53,61.934,644.68
152,672.05,84.232,842.69
153,1627.18,84.350,482.05
154,502.32,116.375,499.98
155,1824.42,1143.584,96.11
19,1162.29,66.739,346.06
21,1152.88,68.137,244.07
22,1152.87,71.238,146.99
23,1152.78,77.639,143.51
28,68.287,100.430,943.12
29,1652.76,101.349,489.43
32,67.224,120.335,844.89
33,1662.54,120.357,480.56
34,73.291,106.432,647.13
35,1592.30,105.364,464.17
36,69.263,139.539,547.16
37,1632.45,139.360,454.65
38,69.248,134.436,443.97
39,1612.88,134.338,442.31
40,70.292,126.432,441.17
41,1602.59,127.304,438.23
125,1220.26,1283.234,17.15
122,1128.26,36.314,476.77
70,1172.21,51.538,446.73
42,1172.42,61.438,447.00
43,1132.13,61.530,446.89
44,1142.06,71.034,649.37
47,98.281,69.793,494.34
48,1012.19,74.231,744.35
51,90.210,83.623,534.45
52,91.205,80.603,714.68
176,982.07,87.431,744.05
45,1212.72,62.034,445.98
46,1202.83,71.033,648.04
49,1362.04,71.039,448.18
50,1322.74,76.236,742.63
53,1432.12,85.233,542.17
54,1432.77,81.430,742.03
180,1326.33,88.356,473.71
55,1162.61,84.432,542.81
56,1162.48,65.136,449.81
57,1132.58,64.931,540.37
58,1142.45,72.034,342.53
61,1022.64,68.539,540.92
62,1022.41,80.935,249.90
65,95.273,81.743,524.84
66,92.295,90.393,364.10
59,1192.60,65.233,449.79
60,1172.34,72.236,342.28
63,1302.08,70.531,541.03
64,1272.63,80.430,249.68
67,1362.81,83.033,541.88
68,1402.81,91.839,343.80
69,1162.27,82.339,542.36
80,1052.02,64.139,448.28
81,1072.35,73.332,649.68
84,-992999,-999399,-99999
85,-992999,-999399,-99999
174,-929999,-993999,-99999
88,94.230,76.793,514.07
89,94.206,78.203,704.64
175,952.34,79.639,740.96
92,85.284,94.173,574.75
93,90.240,90.613,724.79
177,952.20,96.535,744.03
112,842.70,101.380,473.52
113,872.98,95.835,840.19
82,1292.59,65.034,446.67
83,1252.42,72.934,649.85
86,-992999,-999399,-99999
87,-992999,-999399,-99999
178,-929999,-9939994,-99999
90,1402.37,78.839,449.38
91,1382.17,77.738,649.49
179,1326.93,78.360,469.73
94,1462.57,96.239,545.63
95,1442.50,93.634,742.77
181,1327.98,98.304,474.79
114,1428.76,1033.994,72.85
115,1428.24,97.304,479.80
96,1082.04,66.432,540.58
97,1082.32,74.036,341.65
100,962.61,74.837,541.39
101,982.69,82.737,342.55
104,-929999,-9939994,-99999
105,-929999,-9939994,-99999
108,892.64,92.635,546.50
109,902.81,100.330,440.29
116,832.22,105.355,453.98
117,762.32,113.338,450.03
98,1242.77,66.835,449.67
99,1222.16,74.831,342.70
102,1325.51,76.372,451.69
103,1322.10,83.342,430.44
106,-929999,-9939994,-99999
107,-929999,-9939994,-99999
110,1422.65,93.354,455.68
111,1424.75,1023.954,39.17
118,1429.42,1053.704,52.69
119,1527.57,1093.544,48.34
120,1128.58,47.345,4135.48
121,1128.34,51.302,4115.20
156,982.94,59.534,1411.14
157,1325.30,60.313,4109.96
158,662.58,72.534,1411.94
159,1625.58,70.338,4108.94
160,512.62,84.231,843.19
161,1823.28,84.350,481.57
162,412.76,116.362,4100.24
163,1923.57,1143.594,95.71
164,992.74,49.435,743.57
165,1326.95,51.360,471.90
71,1182.39,41.934,649.27
72,1172.76,49.336,647.95
166,1127.62,44.330,456.28
167,1122.08,44.392,457.34
168,1223.22,44.388,456.76
73,1182.28,43.533,543.22
169,942.37,56.833,442.78
170,1327.67,57.372,443.50
123,1127.00,48.322,438.90
171,1126.85,49.352,436.34
